,variable,importance,correlation,unbalance,statistical_parity,equalized_odds,average_odds
0,race,0.0017776341305753007,0.10633613038592174,0.3661971830985915,-0.137987012987013,0.3122366357712778,-0.047030867683041544
1,sex,0.035326438267614724,0.20914314639130982,0.39571478701225427,-0.17613432795851464,0.1876289819138906,-0.11594293343331019
2, 10th,0.0041370394311570635,-0.08973146242376821,1.0332275839038236,0.20153614960761396,-0.6560224478058734,0.1135490442696031
3, 11th,0.0038461538461538325,-0.09606136020850227,1.038080858916289,0.20248280489850695,-0.6583938775900245,0.09765162247708492
4, 12th,0.0006464124111182912,-0.05561885710141472,1.0127659574468084,0.19754500818330606,-0.6520855579494256,0.09727223131478446
5, 1st-4th,0.0008403361344537785,-0.03604444190378648,1.00536149471974,0.19610073111291632,-0.6502261887556005,0.10007631144917906
6, 5th-6th,0.001680672268907557,-0.051501701309718595,1.010945923868649,0.19719000163371997,-0.6507871963754317,0.13172415979244445
7, 7th-8th,0.003232062055591456,-0.07239394194546629,1.021627868581806,0.19927356777282484,-0.6540984897581795,0.10122286119019441
8, 9th,0.00255332902391725,-0.061794672282144976,1.015758371634931,0.19812869336835193,-0.6523869428748943,0.10976827533377098
9, Assoc-acdm,0.0033290239172591995,0.01660752878746931,0.9938502277649869,-0.03730037732492819,-0.013001600135945535,-0.07855859695874601
10, Assoc-voc,0.005332902391725902,-0.012202962260917539,1.0052641469489116,0.023797098754069657,-0.18893053845564217,-0.0792247741328238
11, Bachelors,0.05051712992889468,0.2906982086568092,0.7471010803778495,-0.31829926588523016,0.4806428940305868,-0.0572788198326849
12, Doctorate,0.008661926308985102,0.19261540581107736,0.9546555454574812,-0.6674482516197582,0.9951864798085167,-0.10959631869492625
13, HS-grad,0.006270200387847424,-0.2332997461511446,1.3323644858543742,0.19664898746383802,-0.5156228442685109,0.013677274188363842
14, Masters,0.021363930187459634,0.22493963567808353,0.8898190786304696,-0.39114227086183306,0.4603735823544363,-0.042168262653898725
15, Preschool,0.00019392372333548735,-0.018787003716946683,1.001456546366726,0.19533905162647677,-0.6490933570312345,0.16038193882505258
16, Prof-school,0.009114414996767906,0.20382508597756174,0.9477478894050562,-0.6501886338979093,0.7739671092340707,0.016070694128738183
17, Some-college,0.010439560439560402,-0.06695565332718913,1.0723261626141594,0.06400123040710426,-0.14906909551410163,-0.003345321291878811
