,variable,importance,correlation,unbalance,statistical_parity,equalized_odds,average_odds
0,ClaimsTruncated,0.0,0.09913889521883144,0.7000281769512539,-0.0015201274816659433,0.0015893451626633355,-0.2534531996070458
1,age_05,0.0,-0.013411778257214667,1.1008507621410848,0.00026586316908897554,-0.00026988125224901044,0.04114384396713322
2,age_15,8.050233456768918e-05,-0.019368416981309935,1.1132819501702815,0.0002688653880623768,-0.00027295059594213445,0.06789971321025279
3,age_25,0.0,-0.0023581424279514028,0.3540544392190395,-0.00266552501010025,0.0027422142169659203,-0.03246734840657173
4,age_35,3.2200933827075674e-05,-0.011008847179626973,0.7476151785982968,-0.0005629401220855835,0.0005751674970710989,0.022590900533037916
5,age_45,0.0,-0.011216163485026574,1.1640895886046292,0.000281135788585887,-0.00028546959748786756,0.0593227019798479
6,age_55,1.6100466913537837e-05,-0.015713890462686404,1.1232480332760646,0.0002712722669319107,-0.0002752798678656634,0.05053187342989307
7,age_65,3.2200933827075674e-05,-0.016455742225085456,1.1311236568930978,0.00027317428519395374,-0.00027703389047926865,-0.004063846900989487
8,age_75,0.0,0.005068419076970467,1.194193424341473,0.0002884060757546626,-0.0002922267679719462,-0.06299017134937879
9,age_85,0.00011270326839476485,0.06607769673774047,1.0864089557460206,0.00026237537169844326,-0.0002657925046513688,-0.13634136133514718
10,age_MISS,1.6100466913537837e-05,0.04628915433243505,1.0320704553007645,0.0002492522432701894,-0.000252674134591089,-0.10516593569894805
11,sexMALE,0.0005474158750603975,-0.018708824141797007,1.8335055350553509,0.00044280442804428045,-0.0004505857614899369,0.024790252081731023
12,sexFEMALE,0.00020930606987599188,0.018708824141797007,,-0.00044280442804428045,0.0004505857614899369,-0.024790252081731023
13,pcg46,0.0,-0.001032804058596896,1.0003221130616846,0.00024158479626348848,-0.0002449779519843214,-0.3766306973747785
14,pg18,0.0,0.08938895331206008,1.0002415653434253,0.00024156534342539658,-0.0002449779519843214,-0.5433072979574309
15,labNull,0.00041861213975207255,-0.006716946143128547,1.4765244264828241,0.00035659099013431595,-0.00036280082234853067,0.041277030402028125
16,drugNull,0.00028980840444368103,-0.03473139710320134,1.0476069997891628,3.1618551996344705e-05,-3.322258371717162e-05,0.06359636243822442
