data,variable,correlation_true,mutual_info,unpriv_prob_pos,unpriv_unbalance,priv_unbalance,statistical_parity,equal_opportunity,average_odds,skew_var,gini,simpson,shannon,ir,pos_prob
arrhythmia,1,-0.3298304501395346,0.263048496055093,0.25,0.575,1.326923076923077,1.0,0.0,1.0,-0.2720708884477537,0.0804037970214561,0.0297397764364439,0.999956199199038,0.7692080892080893,0.3269230769230768
arrhythmia,23,0.0715196006413707,0.0755546367132353,0.4545454545454545,1.0454545454545454,0.0,1.0,1.0,1.0,4.629567819661408,0.1100913528447631,0.0164948448385632,0.9999485678791368,0.0453607326334598,0.4545454545454545
arrhythmia,24,0.1526527234482591,0.0423234341481546,0.4444444444444444,1.022222222222222,0.0,1.0,1.0,1.0,6.782329983125274,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.4444444444444444
arrhythmia,26,0.0210555480618288,0.055833730877364,0.4444444444444444,1.022222222222222,0.0,1.0,1.0,1.0,6.782329983125274,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.4444444444444444
arrhythmia,38,0.1105416273246014,0.1047324391050864,0.4444444444444444,1.022222222222222,0.0,1.0,1.0,1.0,6.7823299831252735,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.4444444444444444
arrhythmia,46,0.0466347034858858,0.1995765194084006,0.4651162790697674,1.069767441860465,0.0,0.0,1.0,1.0,3.641645213056095,0.1088543713521252,0.0172228197149389,0.999949507037286,0.0696760185132278,0.4651162790697674
arrhythmia,57,-0.1368610624018875,0.0184214637373157,0.4222222222222222,0.9711111111111111,2.3,1.0,1.0,0.0,6.782329983125276,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.5777777777777777
arrhythmia,62,0.1105416273246014,0.1047324391050864,0.4444444444444444,1.022222222222222,0.0,1.0,1.0,1.0,6.7823299831252735,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.4444444444444444
arrhythmia,66,-0.1368610624018875,0.0184214637373157,0.4222222222222222,0.9711111111111111,2.3,1.0,1.0,0.0,6.782329983125265,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.5777777777777777
arrhythmia,72,0.0210555480618288,0.055833730877364,0.4444444444444444,1.022222222222222,0.0,1.0,1.0,1.0,6.782329983125274,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.4444444444444444
arrhythmia,82,0.0789583052318581,0.0503408713291965,0.4444444444444444,1.022222222222222,0.0,1.0,1.0,0.0,6.782329983125276,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.4444444444444444
arrhythmia,86,0.1105416273246014,0.1047324391050864,0.4444444444444444,1.022222222222222,0.0,1.0,1.0,1.0,6.7823299831252735,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.4444444444444444
arrhythmia,93,0.0210555480618288,0.055833730877364,0.4444444444444444,1.022222222222222,0.0,1.0,1.0,1.0,6.782329983125274,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.4444444444444444
arrhythmia,94,0.2183229914315527,0.0878038883669173,0.4545454545454545,1.0454545454545454,0.0,1.0,0.0,1.0,4.629567819661407,0.1100913528447631,0.0164948448385632,0.9999485678791368,0.0453607326334598,0.4545454545454545
arrhythmia,95,0.1947638195719168,0.1047324391050864,0.4444444444444444,1.022222222222222,0.0,1.0,1.0,1.0,6.782329983125272,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.4444444444444444
arrhythmia,98,-0.1957378543869093,0.0375044895031747,0.4090909090909091,0.940909090909091,2.3,0.0,0.0,1.0,4.629567819661408,0.1100913528447631,0.0164948448385632,0.9999485678791368,0.0453607326334598,0.5909090909090908
arrhythmia,103,0.1526527234482591,0.0423234341481546,0.4444444444444444,1.022222222222222,0.0,1.0,1.0,1.0,6.7823299831252735,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.4444444444444444
arrhythmia,105,-0.1368610624018875,0.0184214637373157,0.4222222222222222,0.9711111111111111,2.3,1.0,1.0,0.0,6.782329983125274,0.1113283343374008,0.0157946687764785,0.9999474496347404,0.0221261261261261,0.5777777777777777
