,variable,correlation_true,mutual_info,unpriv_prob_pos,priv_prob_pos,unpriv_unbalance,priv_unbalance,statistical_parity,equal_opportunity,average_odds,kurtosis_var,skew_var,gini,simpson,shannon,ir,pos_prob
0,gender_Female,-0.018650383714590213,0.000174174050739051,0.2140724946695096,0.22963367960634226,0.9622861211358653,1.0322358468876967,-0.015561184936832673,0.0,0.0,-1.9756974082661074,-0.15713337493657353,0.46084307752775866,-0.9999999808073463,-125354.72246111705,0.854747585201385,-0.015561184936832673
1,gender_Male,0.018545229233837997,0.00017221451344293093,0.22959183673469388,0.21411814885903177,1.0320477572654505,0.9624913431706564,0.015473687875662112,0.0,0.0,-1.9755725395358148,0.15753012953035633,0.5392551832563623,-0.9999999808079342,-125354.94917604334,0.8544096209912536,0.015473687875662112
2,gender_Unknown/Invalid,0.005302480489977226,2.4726083659605156e-05,0.22248427672955975,0.0,1.0000982704402515,0.0,0.22248427672955975,0.0,0.5,10177.000000000002,100.8811181539935,0.999901739215879,-0.9999999903429206,-135471.89695297362,9.827044025157233e-05,0.22248427672955975
3,age_[0-10),0.0007296963109014144,2.686023731321603e-07,0.22247367903178195,0.21428571428571427,1.0000506322908325,0.9632445734477535,0.008187964746067672,0.0,0.0,722.2853512930885,26.909912795827072,0.9986243490223052,-0.9999999903182174,-135333.38939296332,0.0013775460001967923,0.008187964746067672
4,age_[10-20),0.024964316586016878,0.0003720734465436186,0.22333267365921236,0.09859154929577464,1.0039119345538003,0.4431829492858209,0.12474112436343772,0.0,0.0,138.41363701350662,11.84847820551626,0.993023484327405,-0.9999999902091595,-134875.98668491386,0.00702552938848209,0.12474112436343772
5,age_[20-30),0.013313316886629161,9.302586407013494e-05,0.22318840579710145,0.18023255813953487,1.0032634301223946,0.8101708234037308,0.042955847657566576,0.0,0.0,54.21301696622476,7.496823525836138,0.9830991451311781,-0.9999999900129442,-134228.09517347373,0.017191404297851074,0.042955847657566576
6,age_[30-40),-0.003192045018764054,5.06005353358846e-06,0.22219953027672829,0.22916666666666666,0.9988182948879256,1.030136557714959,-0.006967136389938372,0.0,0.0,21.552992968621577,4.852706191310762,0.962267858897514,-0.9999999895887889,-133127.66751247147,0.03921168181354028,-0.006967136389938372
7,age_[40-50),-0.008437389507747911,3.522824275523084e-05,0.22134430133131291,0.23347547974413646,0.9949739198978673,1.0495052815177017,-0.012131178412823546,0.0,0.0,5.954720991887854,2.8202040350623583,0.9078313844944482,-0.9999999884043135,-130971.45102287657,0.10152613919255331,-0.012131178412823546
8,age_[50-60),-0.010004068796807488,4.9664941230070925e-05,0.2205585264408794,0.23155505107832008,0.9914417507017798,1.0408726832261763,-0.010996524637440691,0.0,0.0,0.9862849318922002,1.7280310021094616,0.826864498378697,-0.9999999864712884,-128720.70352968645,0.20938799762329174,-0.010996524637440691
9,age_[60-70),0.03373992030706288,0.0005816192439252188,0.22992562712719022,0.19607843137254902,1.0335481922585754,0.8814002632855261,0.03384719575464121,0.0,0.0,-0.18142559686892357,1.348558525166447,0.7795028004323474,-0.9999999852871994,-127741.1990829461,0.2828690281104248,0.03384719575464121
10,age_[70-80),0.010023420579591864,5.049036171961285e-05,0.22490755414685684,0.21535508637236084,1.010991244943711,0.9680515521252279,0.009552467774496004,0.0,0.0,-0.7490299544684147,1.1185335420541769,0.7440306573646458,-0.9999999844045361,-127135.37649078554,0.34403063919704174,0.009552467774496004
11,age_[80-90),-0.031039818343602667,0.0004707657325775383,0.21665682220909627,0.25116822429906543,0.9739030387022848,1.1290366690333873,-0.03451140208996917,0.0,0.0,1.1479072826709067,1.774170716913027,0.8317775375847499,-0.9999999865928683,-128834.73817702691,0.20224453632604844,-0.03451140208996917
12,age_[90-100),-0.023055125673911735,0.0002518659582226579,0.22086447182387398,0.28,0.992817018441504,1.2586395759717315,-0.05913552817612605,0.0,0.0,32.05137920347328,5.834816231439575,0.9729782843667093,-0.999999989808941,-133662.6430720066,0.027772167238941627,-0.05913552817612605
13,metformin_Down,0.04084569561964341,0.0014635868435597388,0.22375963629175727,0.0,1.005831191935165,0.0,0.22375963629175727,0.0,0.5,167.5802676396199,13.02103431147485,0.9942026137368576,-0.9999999902322197,-134963.3882877943,0.0058311919351650525,0.22375963629175727
