variable,data,correlation_true,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob,kurtosis_var,skew_var
race,adult,0.0845306038418412,0.0040360974592466,0.1292517006802721,0.2525,0.5367849153084052,-0.1670578231292517,-0.05578231292517,0.2215185046140986,0.8707482993197279,0.7475,-0.1232482993197278,0.1232482993197278,5.639858197196586,-2.763369852206404
sex,adult,0.2300646010734255,0.029481677713473,0.1017441860465116,0.3103782735208535,0.4225456531918214,-0.1572070090752562,-0.1271400536846141,0.0583242899132124,0.8982558139534884,0.6896217264791464,-0.2086340874743419,0.2086340874743419,-1.501940492199525,-0.7064211201277086
 10th,adult,-0.0796271589278562,0.0042254090887703,0.2469135802469135,0.0515463917525773,1.0254370701797997,0.1911911911911911,0.118290111417259,-0.3095037660611431,0.7530864197530864,0.9484536082474226,0.1953671884943362,-0.1953671884943362,26.97478389355473,5.381203162193258
 11th,adult,-0.0912517944866108,0.0056771158532374,0.2484889187374076,0.043103448275862,1.031979482649046,0.1924110141034251,0.1278166323151386,-0.309825374972828,0.7515110812625924,0.956896551724138,0.2053854704615456,-0.2053854704615455,21.748434966906025,4.871794014905299
 12th,adult,-0.051402663028293,0.0017122127587699,0.2435182146373482,0.0638297872340425,1.0113360484402083,0.1448442486156596,0.0606665782178493,-0.284821651152024,0.7564817853626518,0.9361702127659576,0.1796884274033056,-0.1796884274033057,60.94559627217747,7.931342931187308
 1st-4th,adult,-0.028673694950313,0.0007133442654401,0.2414128321451717,0.0,1.002592352559948,0.1856772521062864,0.1665586519766688,-0.306321511199539,0.7585871678548283,1.0,0.2414128321451717,-0.2414128321451717,382.37217672528783,19.599107300357176
 5th-6th,adult,-0.0270004546527512,0.0004261781426234,0.241851368970013,0.1153846153846153,1.0044136048231145,0.1867666232073011,0.051173402868318,-0.3076478713615915,0.758148631029987,0.8846153846153846,0.1264667535853976,-0.1264667535853976,114.19487215945333,10.775948013022354
 7th-8th,adult,-0.0500986880387516,0.0015040554907069,0.244047619047619,0.1,1.0135346756152126,0.1894841269841269,0.0676587301587301,-0.3097592983803853,0.7559523809523809,0.9,0.144047619047619,-0.1440476190476191,39.28854955135968,6.423640195246879
 9th,adult,-0.0544308164154721,0.0018504072416333,0.2441438469152095,0.0793650793650793,1.0139343118867896,0.1890465193005608,0.0885662964184903,-0.3089415692427477,0.7558561530847905,0.9206349206349208,0.1647787675501301,-0.1647787675501302,44.20523966306676,6.795341438038589
 Assoc-acdm,adult,0.0070831340457777,2.467715743939558e-05,0.2402920677066047,0.2592592592592592,0.9979377952808524,0.0380450148123563,-0.0195695197354673,-0.0688203731997132,0.7597079322933953,0.7407407407407407,-0.0189671915526545,0.0189671915526545,33.28011034060008,5.937895088136934
