,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob
0,age,0.05366519959977134,0.17104727622660096,0.0014139073840922778,0.6666666666666666,0.7236842105263158,0.9389671361502347,-0.17982456140350878,-0.004385964912280715,0.176271645021645,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,-0.4818978595236256,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,-1.2361820930458383,4.262679877041316,0.33333333333333337,0.2763157894736842,-0.05701754385964919,0.05701754385964919
1,people_liable_for,0.08332023818869401,0.13722155123693863,0.003689942835143678,0.0,0.71,0.0,-0.72,,0.5988343856240894,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,2.001212856276531,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,1.9903729886263888,4.262679877041316,1.0,0.29000000000000004,-0.71,0.71
2,sex,-0.01322818964505741,-0.04583492485141056,8.777574756541062e-05,0.71875,0.7058823529411765,1.012323943661972,0.044117647058823484,-0.020220588235294157,-0.03568840579710142,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,-1.4147604918255947,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,-0.7835461424924532,4.262679877041316,0.28125,0.2941176470588235,0.012867647058823484,-0.012867647058823484
3,status=A11,-0.4592071548212787,-0.4793569224043355,0.10205323210496622,0.8529411764705882,0.40625,1.2013256006628001,0.46139705882352944,-0.2095588235294118,-0.23486667597375402,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,-1.4147604918255952,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,0.7835461424924529,4.262679877041316,0.1470588235294118,0.59375,0.4466911764705882,-0.4466911764705882
4,status=A12,-0.03298411792080721,-0.0989267900343976,0.0005369851856861785,0.717948717948718,0.6818181818181818,1.0111953773925606,0.10722610722610726,0.04312354312354316,-0.1234848484848485,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,-0.11895321173671691,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,1.3725270326150325,4.262679877041316,0.28205128205128205,0.31818181818181823,0.036130536130536184,-0.036130536130536184
5,status=A13,0.06611394640818899,0.1336306209562122,0.002333568389456961,0.7,0.8,0.9859154929577465,-0.20000000000000007,-0.1444444444444445,0.36342592592592593,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,5.438670313486217,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,2.7074488084533876,4.262679877041316,0.30000000000000004,0.19999999999999996,-0.10000000000000009,0.10000000000000009
6,status=A14,0.43341364867590565,0.46770717334674267,0.1178555936128422,0.5625,0.9722222222222222,0.7922535211267606,-0.4375,0.2222222222222222,0.46825396825396826,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,-1.6833118556701032,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,0.5922544268491788,4.262679877041316,0.4375,0.02777777777777779,-0.4097222222222222,0.4097222222222222
7,credit_history=A30,-0.1459835013097143,-0.2820083663723054,0.009409231651275794,0.7216494845360825,0.3333333333333333,1.0164077246987078,0.7422680412371134,-0.16838487972508598,-0.6166666666666667,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,29.89777481829163,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,5.59464946359213,4.262679877041316,0.27835051546391754,0.6666666666666667,0.38831615120274915,-0.3883161512027492
8,credit_history=A31,-0.1567316551879079,-0.16350382386265752,0.010956640279398494,0.7263157894736842,0.4,1.022979985174203,0.33684210526315783,-0.2421052631578947,-0.18645484949832777,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,15.895777735945163,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,4.192636648331105,4.262679877041316,0.27368421052631575,0.6,0.3263157894736842,-0.3263157894736842
9,credit_history=A32,0.05505200746666406,0.07537783614444091,0.00151061501584282,0.6818181818181818,0.7321428571428571,0.9603072983354672,-0.06818181818181823,-0.06006493506493504,0.0818815331010453,100,4.605170185988092,2,60,4.0943445622221,0,0,0,0,0,0,60,0,1,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.29,0.71,0.5,0.21,2,0,0,0,0,0,-1.979764659914039,100.0000000000001,8.602746784284495,17.90795470684865,-1.979764659914039,-6.962011221737285,9.999999999999998,1.6908906931744445,2.7086165620223053,-0.24544399767467573,4.262679877041316,0.31818181818181823,0.2678571428571429,-0.05032467532467533,0.05032467532467533
