,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy
0,school_MS,0.12088726108034573,0.12088726108034573,0.007426135696689595,0.625,0.7407407407407407,0.9305555555555557,-0.1157407407407407,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-1.8936805555555556,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,0.404694672287365,3.8066624897703205
1,sex_M,-0.07419998499379656,-0.07419998499379656,0.0027283565954812627,0.6976744186046512,0.625,1.0387596899224807,0.07267441860465118,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-1.6851129248658316,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,0.6050757736803446,3.8066624897703205
2,address,0.1606156074556547,0.1606156074556547,0.012762167614539965,0.5769230769230769,0.7317073170731707,0.8589743589743588,-0.15478424015009384,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-1.834788569779189,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,-0.4700117002459225,3.8066624897703205
3,famsize,0.280381530103761,0.280381530103761,0.04477181632447261,0.5918367346938775,0.8888888888888888,0.8811791383219953,-0.2970521541950113,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-0.8870225013082145,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,1.067882362815447,3.8066624897703205
4,Pstatus,-0.18222940067926,-0.18222940067926,0.019483730916357536,0.8888888888888888,0.6379310344827587,1.3234567901234566,0.25095785440613017,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,2.8997789566755072,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,-2.1941021399431935,3.8066624897703205
5,schoolsup,-0.11462806221771947,-0.11462806221771947,0.006207988951933446,0.6885245901639344,0.5,1.025136612021858,0.1885245901639344,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,6.854192938209335,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,2.9411566705752272,3.8066624897703205
6,famsup,-0.20264220797001106,-0.20264220797001106,0.020921814069415012,0.7741935483870968,0.5833333333333334,1.1526881720430107,0.19086021505376338,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-2.038332299421009,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,-0.15312070482125434,3.8066624897703205
7,paid,0.08282828282828282,0.08282828282828282,0.0034908726678971602,0.6444444444444445,0.7272727272727273,0.959506172839506,-0.0828282828282828,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-1.486025641025642,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,0.7478357992520804,3.8066624897703205
8,activities,-0.11670543606586878,-0.11670543606586878,0.006839971401082973,0.7272727272727273,0.6176470588235294,1.0828282828282827,0.10962566844919786,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,-2.0615384615384618,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,-0.03054214847183036,3.8066624897703205
9,nursery,-0.07793830999764657,-0.07793830999764657,0.0031542530002699742,0.75,0.6545454545454545,1.1166666666666667,0.09545454545454546,0.0,0.0,67,4.204692619390966,2,49,3.8918202981106265,0,0,0,0,0,0,47,2,23.5,0.0425531914893617,0.7313432835820896,-0.3128723212803394,1.3673469387755102,0.3128723212803394,0.3283582089552239,0.6716417910447762,0.5,0.17164179104477614,2,2,2,2.0,0.0,4,-2.0615384615384618,30.875502958579876,1.1067281360826344,5.041296134147767,0.9599038461538445,-2.1941021399431935,5.652816474284617,0.6520790679894608,1.4821039870002,-1.7123498508874646,3.8066624897703205
