,variable,correlation_true,spearman_correlation,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob
0,age1830,0.040634797778574906,0.040634797778574906,0.0007862098266206291,0.8631578947368421,0.8235294117647058,1.0070175438596491,0.02724458204334368,0.029721362229102155,-0.11601000625390873,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,1.9042345401353558,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,1.96737049960116,2.7725887222397807,0.13684210526315788,0.17647058823529416,0.03962848297213628,-0.03962848297213628
1,age3145,0.1466471150213533,0.1466471150213533,0.009988281408165961,0.8888888888888888,0.7741935483870968,1.0370370370370372,-0.004778972520908087,-0.15929908403026682,0.09722222222222221,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-0.9951582511511488,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,1.011403526451398,2.7725887222397807,0.11111111111111116,0.22580645161290325,0.11469534050179209,-0.11469534050179209
2,age4665,-0.18931483935783802,-0.18931483935783802,0.02261487060807156,0.8170731707317073,0.9666666666666667,0.9532520325203252,0.042276422764227606,0.1495934959349594,-0.4764453594098473,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-0.8868138082548458,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,1.0627071575562228,2.7725887222397807,0.18292682926829273,0.033333333333333326,-0.1495934959349594,0.1495934959349594
3,age66plus,0.007927524902574902,0.007927524902574902,3.128090463613842e-05,0.8589743589743589,0.8529411764705882,1.0021367521367521,-0.05128205128205132,-0.006033182503770718,0.10583446404341923,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-1.2730125783552655,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,0.8660515278369866,2.7725887222397807,0.14102564102564108,0.1470588235294118,0.006033182503770718,-0.006033182503770718
4,female,0.10286889997472795,0.10286889997472794,0.005441072319685228,0.8979591836734694,0.8253968253968254,1.0476190476190477,0.06349206349206349,-0.07256235827664403,-0.1101398601398601,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-1.9702768179832402,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,-0.25540978794794517,2.7725887222397807,0.10204081632653061,0.17460317460317465,0.07256235827664403,-0.07256235827664403
5,lowincome,0.07613869876268811,0.0761386987626881,0.002691434467792922,0.8695652173913043,0.8,1.0144927536231887,0.07826086956521738,-0.06956521739130428,-0.10833333333333334,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,0.910637125140517,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,1.70138030243828,2.7725887222397807,0.13043478260869568,0.19999999999999996,0.06956521739130428,-0.06956521739130428
6,university,0.007291310654330119,0.007291310654330118,2.6578112655495367e-05,0.8596491228070176,0.8545454545454545,1.0029239766081872,-0.034449760765550286,0.030622009569377995,0.020408163265306145,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-2.035362483089975,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,0.03620670792712964,2.7725887222397807,0.14035087719298245,0.1454545454545455,0.005103668261563055,-0.005103668261563055
7,urban,-0.04539986092530572,-0.045399860925305714,0.0010508457517000303,0.8450704225352113,0.8780487804878049,0.9859154929577466,-0.017863277224321572,-0.00549639299209892,0.08535353535353535,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-1.7132655777215016,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,0.5636090623428092,2.7725887222397807,0.15492957746478875,0.12195121951219512,-0.03297835795259363,0.03297835795259363
8,lowtberiskhome,0.09299811099505544,0.09299811099505542,0.0041694913237867726,0.88,0.8108108108108109,1.0266666666666668,-0.012972972972973063,-0.028828828828828867,-0.0007215007215007341,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,-1.492336947456214,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,0.7311894532396683,2.7725887222397807,0.12,0.18918918918918914,0.06918918918918915,-0.06918918918918915
9,hightberiskhome,-0.105409255338946,-0.10540925533894598,0.009975422712131254,0.8476190476190476,1.0,0.9888888888888889,-0.03809523809523807,0.1523809523809524,-0.4262640449438202,112,4.718498871295094,2,32,3.4657359027997265,0,0,0,0,0,0,32,0,1,0.0,0.2857142857142857,-1.252762968495368,3.5,1.252762968495368,0.14285714285714285,0.8571428571428571,0.5,0.3571428571428571,2,0,0,0,0,0,-2.035362483089975,27.884747693694386,2.54485738653506,7.674193151940025,11.632627189324436,-4.469933852187172,5.071883641517673,0.7282509720772685,1.8621962734831992,3.664040131145485,2.7725887222397807,0.1523809523809524,0.0,-0.1523809523809524,0.1523809523809524
