,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds
0,race,0.0845306038418412,0.0980776260192083,0.004036097459245699,0.1292517006802721,0.2525,0.5367849153084052,-0.1335544217687075,-0.07632653061224492,0.2412926788720659
1,sex,0.2300646010734255,0.1724703752932574,0.029481677713473056,0.10174418604651163,0.31037827352085356,0.42254565319182147,-0.14607346671779486,-0.14702554154542513,0.01292225182441166
2, 10th,-0.07962715892785623,-0.08040864721494537,0.004225409088769033,0.24691358024691357,0.05154639175257732,1.0254370701797995,0.1842529815038406,0.11268656973124336,-0.6136175377087708
3, 11th,-0.09125179448661089,-0.08562024385777167,0.005677115853235604,0.24848891873740767,0.04310344827586207,1.031979482649046,0.17998077858317316,0.11672958013941315,-0.608687776248098
4, 12th,-0.05140266302829306,-0.028835544701724867,0.0017122127587705788,0.2435182146373482,0.06382978723404255,1.0113360484402085,0.09414212793888653,0.011277224196803215,-0.5169873244669626
5, 1st-4th,-0.028673694950313036,-0.025385559380715978,0.0007133442654388561,0.24141283214517173,0.0,1.002592352559948,0.19961114711600778,0.1817887232663642,-0.6291810131045931
6, 5th-6th,-0.027000454652751252,-0.04589852206009017,0.0004261781426234054,0.24185136897001303,0.11538461538461539,1.0044136048231145,0.20078226857887874,0.06649282920469357,-0.6319468425602529
7, 7th-8th,-0.05009868803875169,-0.07585737876129126,0.0015040554907051248,0.24404761904761904,0.1,1.0135346756152126,0.2037037037037037,0.08320105820105828,-0.6364936090305784
8, 9th,-0.05443081641547219,-0.054689048245404326,0.001850407241633269,0.2441438469152095,0.07936507936507936,1.0139343118867896,0.1546244363796327,0.08786978994831185,-0.3981154222751779
9, Assoc-acdm,0.007083134045777773,-0.03105729431310885,2.4677157440061714e-05,0.24029206770660472,0.25925925925925924,0.9979377952808524,0.07767165328842507,-0.003970449041806545,-0.22064135705475862
10, Assoc-voc,0.03208072101413961,0.04371274636328585,0.0004879488202092011,0.23795079204583755,0.30708661417322836,0.9882144303219078,-0.08798091340705769,-0.06546287376363091,0.0984417087632341
11, Bachelors,0.14039752836542654,0.23445545629277215,0.009014396574976546,0.21654135338345865,0.38940092165898615,0.8993006004945249,-0.2695973805481446,-0.035665777346592265,0.44607920247999894
12, Doctorate,0.13629949352723608,0.1578888559067859,0.0075469781457871265,0.2341191879502292,0.75,0.9723017013664552,-0.558120497707924,-0.12023575638506878,0.7843439160241213
13, HS-grad,-0.13045835622756322,-0.21150782380776445,0.00891520351304212,0.28088235294117647,0.16318785578747627,1.166510067114094,0.17820999367488932,0.010230866540164474,-0.4766737829223309
14, Masters,0.22172317516225493,0.2356927964836497,0.02049030151558287,0.21722717913520934,0.6222222222222222,0.9021488486501177,-0.40207427743460683,-0.10241744833371469,0.4636162478750328
15, Preschool,-0.02026223667825894,-0.01793867910199164,0.0003564062897890227,0.24110032362459546,0.0,1.001294498381877,0.19935275080906148,0.18155339805825244,-0.6290236258782788
16, Prof-school,0.15864733034689663,0.20904566120641999,0.010233896074078867,0.23218390804597702,0.7755102040816326,0.9642644449587288,-0.6686371100164203,0.018343889279849868,0.8881511220772249
17, Some-college,-0.058000898521118345,-0.05996887632678442,0.0017409480732239468,0.2541736227045075,0.19484240687679083,1.0555881726815386,0.05729223969270658,-0.006363279773835107,-0.14568693265061675
18, Divorced,-0.12095820793808303,-0.13680512794703076,0.008415957626940591,0.26153846153846155,0.11188811188811189,1.0861744966442952,0.15807607027119222,0.08872590823810333,-0.312029761972006
19, Married-AF-spouse,-0.01432293045442767,-0.012680458594080478,0.00017813678380624795,0.2409443725743855,0.0,1.000646830530401,0.19922380336351875,0.18143596377749027,-0.6289451334418064
20, Married-civ-spouse,0.45564528800565757,0.44534871419739563,0.11000398610967994,0.06506447831184056,0.45677233429394815,0.2702140884521271,-0.35756661520113786,-0.2539165042180336,0.5208491248956821
21, Married-spouse-absent,-0.0426281702559305,-0.0429694866426327,0.0011828098037714192,0.2426518615284128,0.0625,1.0077380665354485,0.16959911822338342,0.08848383409536253,-0.5977370507661851
22, Never-married,-0.32626297606108395,-0.30637319605194635,0.06521657931019506,0.3394762366634336,0.0436046511627907,1.409851645955253,0.25948221415198613,0.1993680403612057,-0.44190197977525747
23, Separated,-0.0626987064577308,-0.07656835990918734,0.002331499263911456,0.24605572339711312,0.10434782608695652,1.0218743734102926,0.16162412248055227,0.08897353941357622,-0.3674728455827943
24, Widowed,-0.08333733679953924,-0.061211634860658636,0.004764943055053687,0.24716477651767846,0.041666666666666664,1.026480293349929,0.14096897931954636,0.1226234156104069,-0.0875637454959959
25, ?,-0.08013579830665905,-0.07053928918189527,0.0038129973550051106,0.24922865958176207,0.1016949152542373,1.035051641269761,0.12128783344857441,0.06647763258048955,-0.24653667348913982
26, Adm-clerical,-0.09291808111712947,-0.08775978180486904,0.0049054852097299845,0.25432900432900435,0.12422360248447205,1.0562334756965628,0.11476566911349519,0.087991718426501,-0.12156609949664951
27, Armed-Forces,-0.01432293045442767,-0.012680458594080478,0.00017813678380624795,0.2409443725743855,0.0,1.000646830530401,0.19922380336351875,0.18143596377749027,-0.6289451334418064
28, Craft-repair,0.005075940450402,-0.09937832483543066,1.2826062865720078e-05,0.2399403874813711,0.24634146341463414,0.9964772602246471,0.11704409145432737,-0.09182508814655954,-0.4465778513905677
29, Exec-managerial,0.196806472711653,0.3016360142451742,0.01720269524427645,0.20817843866171004,0.45792079207920794,0.8645692472742695,-0.3574846332216865,-0.05622032463469395,0.5428172049699157
30, Farming-fishing,-0.05249725854938743,-0.07185132095108761,0.0016176600602425227,0.24467376830892143,0.1111111111111111,1.0161350861044334,0.1707279183311141,0.06086699215860336,-0.5121718189258956
31, Handlers-cleaners,-0.09183048459552064,-0.09459915185004428,0.00575528582449839,0.2485723883103796,0.042735042735042736,1.032326133466194,0.198036800656888,0.1351472399507334,-0.6277228318745977
32, Machine-op-inspct,-0.05091678065564905,-0.10883470980711182,0.0014134297801955686,0.24654218533886585,0.15841584158415842,1.0238946596489273,0.17592744751653588,0.019206277474220435,-0.5368151682084794
33, Other-service,-0.17612332413979456,-0.16742122653746644,0.02184249844684664,0.2672476397966594,0.026470588235294117,1.1098848289004888,0.21376180101670297,0.16405228758169932,-0.6399648663148177
34, Priv-house-serv,-0.026705474680680713,-0.033614632272640714,0.0004549253715973238,0.24155844155844156,0.07142857142857142,1.003197071384991,0.2,0.11038961038961037,-0.6301001620268081
35, Prof-specialty,0.1961355137931054,0.2269670078079664,0.017016155467734162,0.20936232952451161,0.4645669291338583,0.8694859698642132,-0.2758140304338109,-0.05961865345526973,0.35831775169255686
36, Protective-serv,0.05035334919909595,-0.009235241448689875,0.0011349196720012306,0.2378129117259552,0.39655172413793105,0.9876418105773227,0.02719094997955568,-0.11392031257098723,-0.2304478971439743
37, Sales,0.011117497232911394,0.021760074134068285,6.111449732756902e-05,0.23914616497829233,0.2545454545454545,0.9931788381783038,-0.02814980485023899,-0.027695917203876652,0.027614821992142255
38, Tech-support,0.03296670824884822,0.048554668813777124,0.0005094539375998935,0.23834886817576564,0.32222222222222224,0.989867648504455,-0.11537209646397398,-0.0535730137594318,0.1610695632943313
39, Transport-moving,-0.023434262318474137,-0.004639060378757717,0.0002864621094860187,0.24310520939734423,0.19745222929936307,1.0096208293629303,0.008440520571058013,-0.1377743657139635,-0.2541659212986488
40, Husband,0.42655517771988455,0.37959469704247517,0.09105215126378115,0.09453000531067446,0.4682080924855491,0.39258501534392853,-0.31057315377318817,-0.24073318005028255,0.3091452726990703
41, Not-in-family,-0.19059662560673016,-0.20273209788457278,0.020579827191287633,0.28927789934354486,0.103831891223733,1.2013769403609766,0.18422397914057664,0.08985726766437752,-0.3965263856077149
42, Other-relative,-0.0940790716459397,-0.08329062103398581,0.007598356961173017,0.24750830564784054,0.0,1.027906976744186,0.20465116279069767,0.18637873754152823,-0.6322769900884484
43, Own-child,-0.23654773015701283,-0.20864623727865644,0.04327822634607306,0.2840214067278288,0.0041841004184100415,1.179546620692486,0.2305253797039141,0.204552288459816,-0.6484115329556907
44, Unmarried,-0.13625480393633765,-0.13995987017377803,0.011445084283046015,0.2613595056343148,0.07580174927113703,1.085431289171235,0.17801319000882798,0.13834672364038314,-0.24951705533247587
45, Wife,0.08418414069137596,0.16153940221462945,0.0031972718416253126,0.23213675213675214,0.3905325443786982,0.96406860551827,-0.28386587771203153,-0.10238001314924394,0.43393581540830356
46, Canada,0.018347272681383694,0.0025647527870358987,0.0001539173115907115,0.24025974025974026,0.35714285714285715,0.9978035387431361,-0.015259740259740251,-0.10487012987012989,-0.11860706860706854
47, Columbia,-0.02026223667825894,-0.01793867910199164,0.0003564062897890227,0.24110032362459546,0.0,1.001294498381877,0.19935275080906148,0.18155339805825244,-0.6290236258782788
48, Cuba,-0.02681744096481401,0.010329385649542704,0.0006240598386670019,0.24133462908973113,0.0,1.002267573696145,-0.08681567865241333,-0.10463232912212506,-0.342573359217196
49, Dominican-Republic,-0.017544772970489637,-0.015532838611672652,0.00026725493408752583,0.2410223228728567,0.0,1.000970559689421,0.199288256227758,0.18149466192170816,-0.6289843629310493
50, Ecuador,0.000775132544067624,0.004586594088577408,2.978588797895691e-07,0.2407766990291262,0.25,0.9999504789209618,-0.05097087378640777,0.18155339805825244,0.3716380661661579
51, El-Salvador,0.0013443102842212189,-0.005067322436955973,8.959161245060063e-07,0.24075275794938353,0.25,0.9998510511347553,0.03255461821328143,0.09836686134544659,0.037970834197249226
52, England,0.04256318559244771,0.024612963913978353,0.0007599426913373602,0.239701589361012,0.5454545454545454,0.99548552682278,-0.16512841683130364,-0.18296818329254272,0.07106400125619433
53, France,0.05531902242641632,0.010472898760900498,0.0013820623570113743,0.24005176318343577,1.0,0.9969398057577856,-0.13436859700204895,-0.48581904453790575,-0.2963565387117762
54, Germany,0.004461971524639855,-0.029781686335913805,9.67631579117112e-06,0.24067466753162503,0.2727272727272727,0.9995267400575139,0.1998053843658774,-0.09173473299324741,-0.6313518193782232
55, Greece,0.009540897797842287,-0.021977418814228725,4.2262422193206986e-05,0.24060880829015543,0.3333333333333333,0.9992532253016657,0.19948186528497408,-0.15231001727115723,-0.6304688822757966
56, Guatemala,-0.016381701372116465,-0.011900802238221014,0.00015816241471020313,0.24116693679092382,0.1111111111111111,1.0015711442028434,0.088240590671709,0.18184764991896274,0.37144141599261415
57, Haiti,-0.017544772970489637,-0.015532838611672652,0.00026725493408752583,0.2410223228728567,0.0,1.000970559689421,0.199288256227758,0.18149466192170816,-0.6289843629310493
58, Hungary,-0.0101262038987049,-0.008964988670530742,8.90518140608163e-05,0.24086647268024572,0.0,1.0003233107015843,0.19915939217588102,0.18137730358874882,-0.6289059373678012
59, Italy,0.0010969131625287538,0.02242871865739395,5.964965686510587e-07,0.24076474400518472,0.25,0.9999008294658275,-0.17636098509397277,0.05646467919637066,0.5392377512351731
60, Jamaica,-0.022979058250167387,-0.018089162652854464,0.00032811762011152783,0.24140168721609345,0.08333333333333333,1.0025460674450914,0.11621241617996973,0.014709063378758436,-0.5386842569573881
61, Japan,-0.017544772970489637,-0.015532838611672652,0.00026725493408752583,0.2410223228728567,0.0,1.000970559689421,0.199288256227758,0.18149466192170816,-0.6289843629310493
62, Mexico,-0.0510443535335584,-0.0658217507745021,0.0016423338170031589,0.2436698454455771,0.07547169811320754,1.0119657742397525,0.2025649457415324,0.10769173496801576,-0.6337241096051165
63, Nicaragua,-0.024824105446073937,-0.021977418814228725,0.0005348087171252198,0.24125647668393782,0.0,1.0019430051813472,0.19948186528497408,0.18167098445595853,-0.6291022523180572
64, Outlying-US(Guam-USVI-etc),-0.0101262038987049,-0.008964988670530742,8.90518140608163e-05,0.24086647268024572,0.0,1.0003233107015843,0.19915939217588102,0.18137730358874882,-0.6289059373678012
65, Peru,-0.017544772970489637,-0.015532838611672652,0.00026725493408752583,0.2410223228728567,0.0,1.000970559689421,0.199288256227758,0.18149466192170816,-0.6289843629310493
66, Philippines,0.03192812477591653,0.03606370442463503,0.0004603573476618908,0.2405431619786615,1.0,0.9989805948482935,-0.8011639185257032,0.18137730358874882,0.3717556544308491
