,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds
0,ClaimsTruncated,0.14735541387926657,0.2780619414213535,0.011361774270892858,0.05600539811066127,0.09540636042402827,0.9689401884827776,-0.04760542290763604,-0.34865798295684847,0.07750611940654364
1,age_05,-0.034594093034281195,-0.05717546083175868,0.003509462927926003,0.0561877667140825,0.07325383304940375,0.9720953177191266,0.008357041251778094,0.05395954548648896,-0.020759207501454692
2,age_15,-0.05116119280020605,-0.05296896466174688,0.0033697753123579817,0.05905511811023622,0.04654895666131621,1.0217028929879586,0.008410880458124553,0.07292311775634785,-0.0202992265753772
3,age_25,0.023586989364283547,0.007542211685646478,0.0015301136021661935,0.05776173285198556,0.0583756345177665,0.9993262471968867,0.008079766202509884,-0.011277552491428477,-0.019750045612114575
4,age_35,-0.030003726182185893,-0.011191208847503126,0.0017443879202801026,0.05960502692998205,0.0421216848673947,1.031216775103394,0.006698465425152015,0.040829661911790605,0.019791652290720725
5,age_45,-0.07004463949439171,-0.05061831178621403,0.004174274211676536,0.06151537884471118,0.03526734926052332,1.0642674596225659,0.0048390937324774876,0.07660298180347136,-0.016650991218070184
6,age_55,-0.024915684892928773,-0.04140583368519915,0.002725656011490889,0.056153144940747496,0.07024793388429752,0.9714963321085869,0.005449372317690873,0.03545708179834306,-0.01794369460585416
7,age_65,-0.013907394946854314,-0.00897858056961453,0.0015787510725416612,0.05865314989138305,0.050946142649199416,1.0147485068952093,0.0035984303507679075,0.011631130322414696,0.014495038590130615
8,age_75,0.07295553052066919,0.035400020454806995,0.0053989376795577065,0.057016701862161644,0.06187624750499002,0.986436588484362,-0.008826846211589108,-0.07193579820585361,0.015017730383542737
9,age_85,0.09875871619841825,0.1592487288325922,0.005789655303540549,0.05528511821974965,0.08932461873638345,0.9564787444648053,-0.031821459846494614,-0.18769335890746353,0.048265078104979285
10,age_MISS,0.0713154201193162,0.07300129377466032,0.0038337933679947465,0.05701900633544515,0.07981220657276995,0.9864764577979104,-0.021333402213883502,-0.17634125303113557,0.012374612864079104
11,sexMALE,-0.04254918136092437,-0.05147090213726577,0.0042324913018698335,0.05916985575507801,0.05614783226723525,1.0236879501247618,0.001490612457708095,0.0344027162224958,-0.020256269788023258
12,sexFEMALE,0.04254918136092437,0.05147090213726577,0.0042324913018698335,0.05614783226723525,0.05916985575507801,0.9714044184172651,-0.001490612457708095,-0.0344027162224958,0.020256269788023258
13,pcg42,0.0025007428531055352,-0.005503234402231895,0.00013367301226806325,0.05769540692989525,0.16666666666666666,0.9981787533191625,0.007574536663980661,-0.022428149341928494,-0.018527383091935606
14,pcg45,-0.004726586118317286,-0.0022457813916242453,2.196464079292715e-05,0.05780998389694042,0.0,1.0001610305958133,0.0075684380032206115,0.1442834138486312,-0.018491232363203394
15,pg18,-0.006684940453890862,0.048084740472217675,4.393307153018663e-05,0.05781929457239491,0.0,1.0003221130616846,0.007569656949589306,-0.3558544048961185,-0.0184924886317644
16,labNull,-0.05257319936170693,-0.0782757737089559,0.004591499058255956,0.05689900426742532,0.05970898143502258,0.9844003217408878,0.005970874352314658,0.05283451777760806,-0.010196087438067476
17,drugNull,-0.083454975269197,-0.06435139794054066,0.0056104385763490056,0.06349607892739692,0.047829937998228524,1.0985352262341568,0.007018808466263359,0.07288216257590019,-0.009896831816238731
0,ClaimsTruncated,0.1395066464799837,0.2350741965180664,0.01064922529144693,0.05792940381692282,0.07931034482758621,0.9830588172319881,-0.06883914063910454,-0.3158657962017134,0.14081223127136883
1,age_05,-0.01566036758166072,-0.05164714279021977,0.00262054177500836,0.05701133144475921,0.07815275310834814,0.9674791792442609,0.011143069553535037,0.03291251339696788,-0.032155186616078135
2,age_15,-0.04258817900096933,-0.05526181260086755,0.0029919305727117806,0.059002324333988915,0.05825242718446602,1.0012662197770632,0.00980681469034629,0.06458807443655012,-0.030307909549688865
3,age_25,0.006976371062456821,0.011475100458582022,0.001080018018691904,0.05900461775269369,0.057692307692307696,1.00130513896716,0.011619088966446586,-0.007104234913367757,-0.03136931411889586
4,age_35,-0.0010687901986665622,-0.040203137487505265,0.0017200629083661378,0.05792408706601907,0.06748466257668712,0.9829685922596842,0.01529051987767584,0.020473073565554945,-0.03663315373056263
5,age_45,-0.06490679738654337,-0.03888936343062213,0.003786489646854417,0.06174221227382951,0.041176470588235294,1.0477619683955057,0.0063142302248263595,0.0737173705520261,0.0034923882359388656
6,age_55,-0.04748711224433062,-0.030989115607167463,0.0027981165440597432,0.05981818181818182,0.052039381153305204,1.0151112767014405,0.0075131057409538425,0.0534133742488172,-0.027975390151056972
7,age_65,-0.00705867752417572,-0.021379510213139382,0.002503727484500152,0.061042274052478133,0.042876901798063624,1.035884055027163,0.0029656053292686363,0.013141711930771183,-0.02291914856014196
8,age_75,0.03941691686405886,0.06800129198965026,0.0031954161859677967,0.060127192137213334,0.05283757338551859,1.0203551649295957,-0.010556540084229056,-0.06043832750221667,0.03101809807217379
9,age_85,0.1035361642676974,0.10225021666616868,0.006178445506206448,0.05682216766047001,0.0825147347740668,0.9642690801616919,-0.03859328991516436,-0.1414472845497977,0.12034798047505063
10,age_MISS,0.07160800920361955,0.10123220307096034,0.0037075886620522884,0.057218895542248835,0.11055276381909548,0.9710015306363594,-0.04296766600801747,-0.21137289909293633,0.029977307386784738
11,sexMALE,0.0008521587656516111,-0.024074968764360553,0.001355648020236325,0.05875542691751085,0.05914368650217707,0.9970763841110926,0.0017722154425865201,0.0010228964984173583,-0.003103749117725813
12,sexFEMALE,-0.0008521587656516111,0.024074968764360553,0.001355648020236325,0.05914368650217707,0.05875542691751085,1.0036651280465074,-0.0017722154425865201,-0.0010228964984173583,0.003103749117725813
13,labNull,-0.04205179980654322,-0.06379324899276824,0.0035871146006715964,0.05723746452223273,0.06253151790216843,0.9713166452119877,0.0023247509220999107,0.03986629968736155,-0.018154923188347757
14,drugNull,-0.04857800645688965,-0.07385366457161086,0.003335917570379928,0.061734566358410396,0.05384615384615385,1.047632217628653,0.01492285299715795,0.049324207409686016,-0.042416314529131666
0,ClaimsTruncated,0.17627820308417724,0.22330778209503382,0.015068253178681806,0.0532724505327245,0.10738255033557047,0.9535308076621093,-0.009506411194989541,-0.36439332286839254,0.002127773882723956
1,age_05,-0.029227994159857898,-0.047368971685065174,0.004200203615574926,0.05328818392443415,0.08,0.9538124217713561,0.003019960791302799,0.04398324719301372,-0.012505288713381956
2,age_15,-0.051380674110232546,-0.051271655612522664,0.003235565144172401,0.056468906361686916,0.05040650406504065,1.0107446034940561,0.006772840065784504,0.07414965393399475,-0.016114675452285995
3,age_25,0.00781335532363044,0.009760746974534976,0.0015133826615050512,0.05475454857535187,0.07272727272727272,0.9800590812723644,0.008238928939237899,-0.003744521870165607,-0.017575806909758056
4,age_35,-0.027816278128689132,-0.014185853074682495,0.001909937371774422,0.05872902534808997,0.029556650246305417,1.0511987793573108,0.004927280838593302,0.05313842288321846,-0.01388919689512895
5,age_45,-0.07093602889785436,-0.04869205707532625,0.004173812758235086,0.05859302108602351,0.03873239436619718,1.0487644206492566,0.007596584044917637,0.08103869844682321,-0.017054645348409118
6,age_55,-0.05266111057629383,-0.033617356261410804,0.0027006129110211307,0.05843920145190563,0.03566333808844508,1.046011182183821,0.0038873685763920343,0.06587063852261876,-0.012974505606718353
7,age_65,-0.03770413052011983,0.0024950520415773746,0.0018743626190709686,0.05888767720828789,0.03244005641748942,1.054038510491862,-0.0103821715811509,0.0352855404804715,0.04677416499393514
8,age_75,0.10297845067379714,0.059063389838333424,0.007340785542911796,0.05031933423650087,0.08333333333333333,0.900672579086187,-0.0022241798267371698,-0.10901057922106627,0.019961559911877192
9,age_85,0.13380965249720342,0.09334113619191471,0.010038294079042201,0.05307262569832402,0.08902691511387163,0.9499541158855636,-0.0028449836334825404,-0.20132551441757174,-0.0058794159574317925
10,age_MISS,0.04991627267823239,0.05871424790498948,0.0031686884053571335,0.056018672890963656,0.051643192488262914,1.002685813618949,-0.045474469580627036,-0.15122646515974814,0.03952192886695441
11,sexMALE,-0.04846278520416467,-0.029994587689625225,0.002662105807263262,0.05798782255726297,0.05322230267921796,1.0379318902108368,0.0008771655417966857,0.029708996447458613,-0.015046491728297633
12,sexFEMALE,0.04846278520416467,0.029994587689625225,0.002662105807263262,0.05322230267921796,0.05798782255726297,0.952633204439835,-0.0008771655417966857,-0.029708996447458613,0.015046491728297633
13,no_PCPs,0.004362782209757436,0.028673156974862345,0.0008062210574960023,0.0,0.05586862018998551,0.0,-0.0077282241184994365,,0.016319475842438206
14,pcg44,-0.00829014014826395,-0.0039930831343123465,6.760227499995851e-05,0.055895618556701034,0.0,1.0004832474226804,0.007731958762886598,0.14980670103092786,-0.016323403811744415
15,labNull,-0.056769529865343435,-0.09112179254196602,0.004617111905914033,0.05451083075458224,0.05870646766169154,0.975696742987638,0.006276993987453829,0.05808354087690559,-0.018967616879183483
16,drugNull,-0.0686803202569113,-0.06883664049451102,0.0040460823962757695,0.06020151133501259,0.04819277108433735,1.0775550054805856,0.007203850386151378,0.06391600547164866,-0.01945547549400177
0,ClaimsTruncated,0.13973980571993722,0.19749544484930479,0.01249813629097525,0.056800943873251304,0.05755395683453238,0.9994069756282263,-0.02130323383295723,-0.2899584933435352,0.07850202475150722
1,age_05,-0.029383588837560443,-0.02986757687366552,0.003621488578198245,0.055301162381120116,0.07317073170731707,0.9730184689777254,0.0032312595865547356,0.042291534357617455,-0.009378692300596514
2,age_15,-0.041352756841130295,-0.04477757130074832,0.003593524076729581,0.05565465572600785,0.06776859504132231,0.9792381493321098,0.005351409204423832,0.057182534651480266,-0.011699262832621352
