,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds
0,alcohol,0.2955842029799722,0.3959063869513466,0.069818904862752,0.378839590443686,0.4845679012345679,0.8721792063572922,-0.1829098723296676,-0.0894640374162558,0.2869553579230998
1,type,0.10608704873378419,0.3535573380458794,0.012824884783591887,0.33540372670807456,0.4692982456140351,0.7721794752943358,-0.421583850931677,-0.1189250299662199,0.7389029935400657
0,alcohol,0.3598219358352499,0.7809108829200556,0.08572637429929758,0.3898916967509025,0.5294117647058824,0.83528880866426,-0.6854109152686345,-0.07842429390528771,1.3248072266929554
1,type,0.09711764385329004,0.11076025922656287,0.006787856322281377,0.44375,0.474835886214442,0.9506727430555555,-0.16579595185995621,-0.014510393873085392,0.3182436654922731
0,alcohol,0.4294514825102561,0.8542595440200027,0.11352130403903954,0.3832752613240418,0.5060606060606061,0.8537214304582448,-0.8354661598564037,-0.059159539647344495,1.671754622496148
1,type,0.14342702499517676,0.0846392520570624,0.01631230777175175,0.43506493506493504,0.4535637149028078,0.9690796568052886,-0.16111750021037274,-0.08332164595663516,0.3030098754347523
0,alcohol,0.3742861637045395,0.6583981430480017,0.08859242850884816,0.35611510791366907,0.5191740412979351,0.7989928057553958,-0.6104284713821864,-0.05276840474523037,1.1707089340977272
1,type,0.09554717315381457,0.22105749310245593,0.00895189225496499,0.40522875816993464,0.45905172413793105,0.9091859774212715,-0.26202952445345956,-0.025453572233491095,0.5059434428152892
0,alcohol,0.3917613674996876,0.7304758166859836,0.1054339852986662,0.37142857142857144,0.5667655786350149,0.7768523002421308,-0.7187791437049598,0.05061466723187791,1.404201757024338
1,type,0.11550683694378505,0.0680015421470063,0.00836000734972904,0.4084507042253521,0.49894736842105264,0.8542850322272618,-0.1380429948109711,-0.06392883617494438,0.22311524368819952
0,alcohol,0.34438995916323034,0.7497746088795644,0.07532277713972509,0.3548387096774194,0.49554896142433236,0.8217317487266553,-0.5461429650191975,-0.04516979887899775,1.066185955944992
1,type,0.0661375964932391,0.047911056333542444,0.004036903400422929,0.40268456375838924,0.4411134903640257,0.9325326739667962,0.16230975956771054,-0.11423767299484067,-0.3686184847190772
0,alcohol,0.33434595418887925,0.4144333527055629,0.07925694238971019,0.3875968992248062,0.5083798882681564,0.8466655671009952,-0.260880862673769,-0.044801004720453785,0.4696845040257812
1,type,0.11443268791325302,0.31402122872714616,0.00923381169720091,0.37857142857142856,0.4810924369747899,0.826950354609929,-0.3445378151260504,-0.08865546218487397,0.6088442415470949
0,alcohol,0.3389107582910468,0.6297458797602067,0.07663408404254281,0.36259541984732824,0.5169491525423728,0.8034488439782526,-0.5474619398801053,-0.12243929788243413,1.0118539599602956
1,type,0.08586494594271794,0.1662211845993249,0.005864003384759939,0.38461538461538464,0.47651006711409394,0.8522412838959601,-0.26617952689196883,0.07436824060468872,0.522827614989237
0,alcohol,0.36379257221685324,0.47207517065712407,0.08101999131131793,0.40458015267175573,0.4971751412429379,0.8837637377510692,-0.13645577263121578,-0.02855048087290296,0.24171542367242238
1,type,0.14204587236311467,0.3466804080414686,0.013685280188246322,0.4166666666666667,0.4690082644628099,0.9101654846335697,-0.25068870523415976,-0.1556473829201102,0.45311799875525627
0,alcohol,0.3743260111133239,0.7410710949381548,0.09028777640302349,0.379182156133829,0.5129682997118156,0.8342007434944239,-0.6519074810108954,-0.12058751057926143,1.256610267331609
1,type,0.0538029056774501,0.008492298096206097,0.002195805133929807,0.44360902255639095,0.4575569358178054,0.9759398496240602,-0.22109621880788927,0.014819657840252742,0.4441684516297634
