,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds
0,sex,0.22446496058085066,,0.12662252148281694,0.8181818181818182,0.5263157894736842,1.291866028708134,0.0,-0.29186602870813405,0.0
1,fbs,0.1767457674932716,,0.058172620846477605,0.6666666666666666,0.3333333333333333,1.0526315789473684,0.0,-0.3333333333333333,-1.0
2,exang,0.3699217555959069,,0.10025045239830255,0.72,0.2,1.1368421052631579,0.0,-0.52,-1.0
0,sex,0.29443074401164404,,0.13118978546185983,0.7142857142857143,0.4375,1.2605042016806722,0.0,-0.2767857142857143,0.0
1,fbs,0.20689727957574985,,0.181278609965154,0.6071428571428571,0.0,1.0714285714285714,0.0,-0.6071428571428571,-1.0
2,restecg,0.10742743362587012,,0.021328556595048787,0.625,0.5,1.102941176470588,0.0,-0.125,0.0
3,exang,0.4548140190915128,,0.16614020818430075,0.7142857142857143,0.2222222222222222,1.2605042016806725,0.0,-0.4920634920634921,0.0
0,sex,-0.11077578729500309,,0.020050643153555106,0.375,0.45454545454545453,0.8653846153846154,0.0,0.07954545454545453,0.0
1,fbs,0.005055601391655587,,0.12405312308980573,0.4,0.6,0.9230769230769229,0.0,0.19999999999999996,0.0
2,exang,0.6730370995746502,,0.3844261923322517,0.7222222222222222,0.0,1.6666666666666667,0.0,-0.7222222222222222,-1.0
0,sex,0.10584102660915273,,0.00801922117734015,0.5,0.36363636363636365,1.25,0.0,-0.13636363636363635,0.0
1,fbs,0.14353429994377553,,0.05197015696344512,0.4074074074074074,0.3333333333333333,1.0185185185185184,0.0,-0.07407407407407407,-1.0
2,restecg,0.03439426259835413,,0.13733950742962625,0.3333333333333333,0.4444444444444444,0.8333333333333331,0.0,0.1111111111111111,0.0
3,exang,0.35354004930829935,,0.1643224873357152,0.5789473684210527,0.09090909090909091,1.4473684210526314,0.0,-0.4880382775119617,0.0
0,sex,0.04046494260189543,,0.09345329934845681,0.375,0.3181818181818182,1.1250000000000002,0.0,-0.05681818181818182,0.0
1,fbs,-0.025384789999525856,,0.1350631120757341,0.30434782608695654,0.42857142857142855,0.9130434782608696,0.0,0.124223602484472,0.0
2,exang,0.12419019359036003,,0.2076393631099901,0.4166666666666667,0.2777777777777778,1.25,0.0,-0.1388888888888889,0.0
0,sex,0.3912540225287499,,0.13249502244467914,1.0,0.4583333333333333,1.7647058823529411,0.0,-0.5416666666666667,1.0
1,fbs,-0.0468167206444658,,0.03642992042499567,0.5555555555555556,0.6666666666666666,0.9803921568627451,0.0,0.11111111111111105,0.0
2,restecg,0.2608360150191666,,0.08489646236925946,0.6666666666666666,0.4666666666666667,1.1764705882352942,0.0,-0.19999999999999996,0.0
3,exang,0.5192664837628366,,0.17204108733066947,0.75,0.2,1.3235294117647058,0.0,-0.55,0.0
0,sex,0.6921614352674402,,0.37309958987922526,1.0,0.25,1.666666666666667,0.0,-0.75,1.0
1,fbs,-0.137405581012772,,0.01740925290272069,0.5862068965517241,1.0,0.9770114942528736,0.0,0.4137931034482759,-1.0
2,exang,0.5205756073945187,,0.23429386010169112,0.7272727272727273,0.25,1.2121212121212122,0.0,-0.4772727272727273,0.0
0,sex,0.10906837662984235,,0.03640701601773902,0.6666666666666666,0.5,1.2083333333333333,0.0,-0.16666666666666663,0.0
1,fbs,-0.015570608011415585,,0.06168322086572617,0.5652173913043478,0.5,1.0244565217391304,0.0,-0.06521739130434778,-1.0
2,restecg,0.40730441574635323,,0.15154157349863967,0.8181818181818182,0.3888888888888889,1.4829545454545456,0.0,-0.42929292929292934,0.0
3,exang,0.3321729709101991,,0.08529486353898529,0.6521739130434783,0.16666666666666666,1.1820652173913044,0.0,-0.48550724637681164,-1.0
4,thal,0.22624794639037807,,0.08781196846541339,0.0,0.5517241379310345,0.0,-1.0,,2.0
0,sex,0.21474650941810092,,0.05680974955922592,0.8333333333333334,0.5652173913043478,1.3425925925925926,0.0,-0.2681159420289856,0.0
1,fbs,0.12509845060664426,,0.0717588912663602,0.6363636363636364,0.5714285714285714,1.0252525252525253,0.0,-0.06493506493506496,-1.0
2,restecg,0.0724612711673017,,0.033748435316681605,0.6470588235294118,0.5833333333333334,1.0424836601307188,0.0,-0.06372549019607843,0.0
3,exang,0.14463921353509293,,0.1087103441218432,0.7,0.4444444444444444,1.1277777777777778,0.0,-0.25555555555555554,0.0
0,sex,0.41165244472395507,,0.13778460841516776,0.9166666666666666,0.5294117647058824,1.3291666666666666,0.0,-0.38725490196078427,0.0
1,fbs,-0.12365355550511932,,0.056152065193391956,0.6521739130434783,0.8333333333333334,0.9456521739130435,0.0,0.1811594202898551,-1.0
2,restecg,-0.11455879881910548,,0.10432449304085818,0.6428571428571429,0.7333333333333333,0.932142857142857,0.0,0.09047619047619038,0.0
3,exang,0.25778676037072745,,0.1179094015214298,0.75,0.5555555555555556,1.0875,0.0,-0.19444444444444442,0.0
4,thal,0.38834825058576483,,0.21006186308393446,0.0,0.6896551724137931,0.0,-1.0,,2.0
