,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds
0,Gender,0.1922734407191,0.10981683510542627,0.037822239028361876,0.29508196721311475,0.18181818181818182,1.2931533269045323,0.1536885245901639,0.11810730253353197,-0.29021317829457366
1,Age,-0.025460027880448828,-0.05241630732159046,0.04714585158808206,0.23255813953488372,0.2222222222222222,1.0191518467852256,0.02307124400147656,-0.013104466592838704,0.08011750154607299
2,family_history_with_overweight,0.2828597909593418,-0.02793192952283371,0.10617618150366798,0.5142857142857142,0.14035087719298245,2.2537815126050424,0.015789473684210548,0.16340852130325817,0.28952414299052953
3,FAVC,0.04716701283887271,0.02322696273597105,0.0345846237786478,0.3,0.21705426356589147,1.314705882352941,0.013953488372093037,0.012403100775193798,-0.04985855728429986
4,SMOKE,-0.07079407205849085,0.02541496341596663,0.012469746932014573,0.22448979591836735,0.5,0.9837935174069629,0.19047619047619047,-0.6190476190476191,-0.5470494417862839
5,SCC,-0.14548632492815491,-0.16618315810367784,0.0439001803643906,0.22142857142857142,0.3333333333333333,0.9703781512605043,-0.5095238095238095,-0.29523809523809524,0.8544934398737298
0,Gender,-0.017887385327340848,0.05591251591073753,0.017136818630187678,0.20270270270270271,0.16,1.1186186186186187,0.06900900900900901,0.127027027027027,-0.12181867097121339
1,Age,-0.05567557567785578,-0.09310748594375497,0.1464561169961161,0.2054794520547945,0.15789473684210525,1.1339421613394216,0.12653208363374188,-0.12905551550108146,-0.3077227011494253
2,family_history_with_overweight,-0.003921234350620688,-0.09014551857645388,0.14507067991113062,0.3235294117647059,0.1391304347826087,1.7854030501089326,0.12225063938618926,-0.1427109974424553,-0.19167215634606938
3,FAVC,0.06353707070795274,-0.021702686847227017,0.0446072820537665,0.38095238095238093,0.1484375,2.102292768959436,0.057663690476190466,0.07068452380952384,0.09977528507224304
4,SMOKE,0.03412880552016877,-0.011890101926802744,0.010864453683925412,0.1780821917808219,0.3333333333333333,0.9827498731608321,-0.1963470319634703,0.13242009132420085,0.5621794871794872
