,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds
0,sex,0.22446496058085066,0.25591764644041487,0.12662252148281694,0.8181818181818182,0.5263157894736842,1.291866028708134,0.2009569377990431,-0.35885167464114837,0.06944444444444448
1,fbs,0.1767457674932716,-0.020554213865940245,0.058172620846477605,0.6666666666666666,0.3333333333333333,1.0526315789473684,-0.07407407407407407,-0.18518518518518517,-1.0
2,exang,0.3699217555959069,0.32540118555244285,0.10025045239830255,0.72,0.2,1.1368421052631579,0.48000000000000004,-0.36000000000000004,-1.2063492063492063
0,sex,0.29443074401164404,0.4817379251952545,0.13118978546185983,0.7142857142857143,0.4375,1.2605042016806722,0.5535714285714286,-0.3392857142857143,-0.85
1,fbs,0.20689727957574985,0.39722249972240276,0.181278609965154,0.6071428571428571,0.0,1.0714285714285714,0.6785714285714286,-0.0357142857142857,-1.2780748663101604
2,restecg,0.10742743362587012,0.23664319132398465,0.021328556595048787,0.625,0.5,1.102941176470588,0.25,-0.19642857142857145,-0.46666666666666673
3,exang,0.4548140190915128,0.19321835661585918,0.16614020818430075,0.7142857142857143,0.2222222222222222,1.2605042016806725,0.2698412698412699,-0.6031746031746033,-0.10000000000000003
0,sex,-0.11077578729500309,-0.0367669422614644,0.020050643153555106,0.375,0.45454545454545453,0.8653846153846154,0.03409090909090906,-0.09090909090909088,-0.2142857142857143
1,fbs,0.005055601391655587,0.021813675325968472,0.12405312308980573,0.4,0.6,0.9230769230769229,0.0,0.44000000000000006,-0.30000000000000004
2,exang,0.6730370995746502,0.6222834394857703,0.3844261923322517,0.7222222222222222,0.0,1.6666666666666667,0.5833333333333334,-0.5833333333333333,-1.148076923076923
0,sex,0.10584102660915273,0.23820232721869763,0.00801922117734015,0.5,0.36363636363636365,1.25,0.29545454545454547,-0.2272727272727273,-0.6527777777777778
1,fbs,0.14353429994377553,0.3966394432757758,0.05197015696344512,0.4074074074074074,0.3333333333333333,1.0185185185185184,0.5925925925925926,-0.37037037037037035,-1.2556818181818183
2,restecg,0.03439426259835413,0.37429114467787233,0.13733950742962625,0.3333333333333333,0.4444444444444444,0.8333333333333331,0.5,0.0,-1.1785714285714286
3,exang,0.35354004930829935,0.5545695225238363,0.1643224873357152,0.5789473684210527,0.09090909090909091,1.4473684210526314,0.5550239234449761,-0.23923444976076552,-0.27727272727272734
0,sex,0.04046494260189543,0.008388269992021519,0.09345329934845681,0.375,0.3181818181818182,1.1250000000000002,0.13636363636363635,-0.21590909090909088,-0.46923076923076923
1,fbs,-0.025384789999525856,0.013155490809766806,0.1350631120757341,0.30434782608695654,0.42857142857142855,0.9130434782608696,-0.037267080745341574,-0.04968944099378886,-0.5446428571428571
2,exang,0.12419019359036003,0.1968680351838437,0.2076393631099901,0.4166666666666667,0.2777777777777778,1.25,0.16666666666666669,-0.05555555555555558,0.11428571428571427
0,sex,0.3912540225287499,0.3492503492505239,0.13249502244467914,1.0,0.4583333333333333,1.7647058823529411,0.45833333333333337,-0.45833333333333337,0.2222222222222222
1,fbs,-0.0468167206444658,-0.2328335661670159,0.03642992042499567,0.5555555555555556,0.6666666666666666,0.9803921568627451,-0.40740740740740744,0.03703703703703698,0.9166666666666666
2,restecg,0.2608360150191666,0.004233337566673017,0.08489646236925946,0.6666666666666666,0.4666666666666667,1.1764705882352942,0.06666666666666665,-0.19999999999999996,0.25
3,exang,0.5192664837628366,0.49391458057363097,0.17204108733066947,0.75,0.2,1.3235294117647058,0.5,-0.5,0.04999999999999999
0,sex,0.6921614352674402,0.20912547814282603,0.37309958987922526,1.0,0.25,1.666666666666667,0.1607142857142857,-0.4107142857142857,0.7142857142857143
1,fbs,-0.137405581012772,-0.11371470653683552,0.01740925290272069,0.5862068965517241,1.0,0.9770114942528736,-0.31034482758620685,0.4482758620689655,-0.32352941176470584
2,exang,0.5205756073945187,0.6051998306483859,0.23429386010169112,0.7272727272727273,0.25,1.2121212121212122,0.6136363636363636,-0.26136363636363635,-0.45833333333333337
0,sex,0.10906837662984235,0.36909102157217766,0.03640701601773902,0.6666666666666666,0.5,1.2083333333333333,0.4888888888888888,-0.36666666666666664,-1.0416666666666665
