,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds
0,gender,0.15811388300841897,0.05976143046671968,0.012692066792422407,0.75,0.6,1.125,0.04999999999999999,0.09999999999999998,0.0
1,CDecomp,0.15811388300841897,0.05976143046671968,0.012692066792422407,0.75,0.6,1.125,0.04999999999999999,0.09999999999999998,0.0
2,PDecomp,0.7905694150420949,0.47809144373375745,0.3865874373531203,1.0,0.25,1.5000000000000002,0.4,0.35,-0.4
3,outpatient,-0.7559289460184545,-0.28571428571428575,0.3175348096260503,0.0,0.8571428571428571,0.0,-0.2857142857142857,-0.5714285714285714,0.3333333333333333
4,fine_alignment,0.37796447300922725,0.35714285714285715,0.10536342019444611,1.0,0.5714285714285714,1.5,0.35714285714285715,0.0714285714285714,-0.25
0,gender,0.0,0.5000000000000001,0.0,0.6666666666666666,0.6666666666666666,1.0,0.5,-0.16666666666666663,-1.0
1,CDecomp,1.0,0.0,0.636514168294813,1.0,0.0,1.5,0.0,-0.3333333333333333,0.0
2,PDecomp,0.6324555320336759,0.15811388300841897,0.2626187977341149,1.0,0.4,1.5,0.15000000000000002,-0.35,0.41666666666666663
3,outpatient,-1.0,0.0,0.636514168294813,0.0,1.0,0.0,0.0,0.3333333333333333,0.0
4,Missing_MaclabRHC,-0.25,-0.25,0.04845795659882873,0.625,1.0,0.9375000000000001,-0.375,0.5,-0.2666666666666666
5,fine_alignment,0.25,0.25,0.04845795659882873,1.0,0.625,1.5,0.375,-0.5,0.2666666666666666
0,gender,0.3952847075210474,0.5976143046671969,0.09890536490133944,1.0,0.75,1.1250000000000002,0.5,-0.25,-0.33333333333333337
1,CDecomp,0.3952847075210474,0.5976143046671969,0.09890536490133944,1.0,0.75,1.1250000000000002,0.5,-0.25,-0.33333333333333337
2,PDecomp,0.5,0.7559289460184545,0.13666070641142758,1.0,0.6666666666666666,1.125,0.6666666666666667,-0.33333333333333337,-0.5
