,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds
0,school_MS,0.12088726108034573,0.12088726108034573,0.007426135696689595,0.625,0.7407407407407407,0.9305555555555557,-0.1157407407407407,0.0,0.0
1,sex_M,-0.07419998499379656,-0.07419998499379656,0.0027283565954812627,0.6976744186046512,0.625,1.0387596899224807,0.07267441860465118,0.0,0.0
2,address,0.1606156074556547,0.1606156074556547,0.012762167614539965,0.5769230769230769,0.7317073170731707,0.8589743589743588,-0.15478424015009384,0.0,0.0
3,famsize,0.280381530103761,0.280381530103761,0.04477181632447261,0.5918367346938775,0.8888888888888888,0.8811791383219953,-0.2970521541950113,0.0,0.0
4,Pstatus,-0.18222940067926,-0.18222940067926,0.019483730916357536,0.8888888888888888,0.6379310344827587,1.3234567901234566,0.25095785440613017,0.0,0.0
5,schoolsup,-0.11462806221771947,-0.11462806221771947,0.006207988951933446,0.6885245901639344,0.5,1.025136612021858,0.1885245901639344,0.0,0.0
6,famsup,-0.20264220797001106,-0.20264220797001106,0.020921814069415012,0.7741935483870968,0.5833333333333334,1.1526881720430107,0.19086021505376338,0.0,0.0
7,paid,0.08282828282828282,0.08282828282828282,0.0034908726678971602,0.6444444444444445,0.7272727272727273,0.959506172839506,-0.0828282828282828,0.0,0.0
8,activities,-0.11670543606586878,-0.11670543606586878,0.006839971401082973,0.7272727272727273,0.6176470588235294,1.0828282828282827,0.10962566844919786,0.0,0.0
9,nursery,-0.07793830999764657,-0.07793830999764657,0.0031542530002699742,0.75,0.6545454545454545,1.1166666666666667,0.09545454545454546,0.0,0.0
10,higher,0.1096751668214891,0.1096751668214891,0.0058336854515088354,0.5714285714285714,0.6981132075471698,0.8507936507936508,-0.12668463611859837,0.0,0.0
11,internet,0.005689906183324323,0.005689906183324323,1.6158150389716797e-05,0.6666666666666666,0.6730769230769231,0.9925925925925924,-0.0064102564102564985,0.0,0.0
12,romantic,-0.15954480704349314,-0.15954480704349314,0.012858604664500284,0.75,0.6,1.1166666666666665,0.15000000000000002,0.0,0.0
13,course,0.2058187123692653,0.2058187123692653,0.0218254673603534,0.5897435897435898,0.7857142857142857,0.8780626780626779,-0.19597069597069594,0.0,0.0
14,Mjob_at_home,0.06527966922263138,0.06527966922263138,0.002171346027061316,0.6530612244897959,0.7222222222222222,0.9723356009070294,-0.06916099773242634,0.0,0.0
15,Mjob_health,0.10798295716161979,0.10798295716161979,0.006494565292938501,0.6557377049180327,0.8333333333333334,0.9763205828779599,-0.17759562841530063,0.0,0.0
16,Mjob_other,-0.03017626564318361,-0.03017626564318361,0.0004538916283512995,0.6829268292682927,0.6538461538461539,1.01680216802168,0.02908067542213888,0.0,0.0
17,Mjob_services,-0.0332939554893052,-0.0332939554893052,0.0005467313924970296,0.6785714285714286,0.6363636363636364,1.0103174603174603,0.04220779220779225,0.0,0.0
18,Mjob_teacher,-0.11462806221771947,-0.11462806221771947,0.006207988951933446,0.6885245901639344,0.5,1.025136612021858,0.1885245901639344,0.0,0.0
19,Fjob_at_home,-0.07288792981454689,-0.07288792981454689,0.0025585725142839577,0.6833333333333333,0.5714285714285714,1.017407407407407,0.11190476190476195,0.0,0.0
20,Fjob_health,-0.1642642095257443,-0.1642642095257443,0.012540520250611156,0.6935483870967742,0.4,1.0326164874551969,0.2935483870967742,0.0,0.0
21,Fjob_other,-0.12088726108034573,-0.12088726108034573,0.007426135696689595,0.7407407407407407,0.625,1.1028806584362139,0.1157407407407407,0.0,0.0
22,Fjob_services,0.26269872289491436,0.26269872289491436,0.04180268421221341,0.6111111111111112,0.9230769230769231,0.9098765432098764,-0.31196581196581197,0.0,0.0
23,Fjob_teacher,0.12264882813437332,0.12264882813437332,0.012104864046822011,0.6615384615384615,1.0,0.9849572649572648,-0.3384615384615385,0.0,0.0
24,reason_course,-0.11637413176019207,-0.11637413176019207,0.006732509509119244,0.717948717948718,0.6071428571428571,1.0689458689458688,0.11080586080586086,0.0,0.0
